Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,160705/0000,-1.13,-4.63,260.4,63.23
42647,160705/1200,-2.58,-4.17,274.02,59.94
42647,160706/0000,-4.31,-5.48,282,53.12
42647,160706/1200,-3.34,-3.75,262.21,53.82
42647,160707/0000,-4.68,-5.83,303.21,55.15
42647,160707/0900,-2.93,-4.47,255.2,55.98
42647,160707/1200,-4.26,-5.54,278.82,59.02
42647,160707/1800,-3.36,-3.86,272.4,62.43
42647,160708/0000,-1.78,-3.15,289.82,57.1
42647,160708/0600,1.84,0.41,272.02,55.32
42647,160708/0900,1.88,0.24,272.19,54.6
42647,160708/1200,1.08,0.21,276.99,54.24
42647,160708/1800,-2.14,-2.4,294.59,57.29
42647,160709/0000,-2.14,-2.78,282.21,58.43
42647,160709/0600,-1.45,-4.2,264.99,64.17
42647,160709/0900,-5.8,-7.14,336.38,68.84
42647,160709/1200,-2.77,-4.01,297.79,68.34
42647,160709/1800,-5.69,-6.55,332.78,73.22
42647,160710/0000,-2.46,-3.55,261.22,65.68
42647,160710/0600,-0.63,-2.28,267.6,67.77
42647,160710/1200,-2.57,-3.31,274.79,68.91
42647,160710/1800,-4.84,-6.53,294.59,69.99
42647,160711/0000,-0.69,-3.02,256.82,70.73
42647,160711/1200,-1.26,-2.73,265.59,72.02
42647,160712/0000,-1.25,-2.98,271.2,77.58
42647,160712/1200,-0.02,-3.05,248.6,78.08
42647,160713/0000,-0.57,-2.09,246.58,77.01
42647,160713/1200,-0.27,-1.67,268.61,75.65
42647,160714/0000,-0.5,-0.69,278.19,76.29
42647,160714/1200,-2.6,-4.38,267.38,84.11
42647,160715/0000,1.36,-0.06,260.8,70.73
42647,160715/1200,-0.22,-2.14,248.58,69.87
42647,160716/0000,-0.66,-1.12,281.41,74.5
42647,160717/0000,0.39,-1.94,249.39,73.9
42647,160717/1200,-0.28,-3.17,274.42,73.76
42647,160718/0000,-1.88,-3.29,278.21,71.29
42647,160718/1200,-1.91,-4.91,264.61,75.85
42647,160719/0000,-0.99,-2.89,260.99,67.5
42647,160719/1200,-0.58,-2.66,264.4,67.62
42647,160720/0000,-0.79,-2.59,265.01,66.75
42647,160720/1200,-1.44,-3.77,268.41,63.22
42647,160721/0000,1.6,-1.13,230.58,59.88
42647,160721/1200,0.49,0.08,247.99,55.21
42647,160722/0000,0.94,0.18,251.4,53.19
42647,160722/1200,2.88,0.43,240.81,51.9
42647,160723/0000,3.27,1.32,227.38,55.95
42647,160723/1200,-0.33,-2.24,246.81,60.76
42647,160724/0000,-1.09,-1.17,249.78,71
42647,160724/1200,-0.57,-2.13,239.59,70.47
42647,160725/0000,-1.74,-4.01,272.19,79.36
42647,160725/1200,-1.52,-3.1,266.98,76.12
42647,160726/0000,-1.14,-2.37,260.18,76.56
42647,160726/1200,-1.62,-2.79,252.81,73.22
42647,160727/0000,-1.75,-2.37,268.4,75.59
42647,160727/1200,-0.84,-2.49,254.79,78.02
42647,160728/0000,-0.09,-2.21,248.41,74.52
42647,160728/1200,0.97,-2.48,251.99,74.84
42647,160729/0000,0.55,21.83,233,63.82
42647,160729/1200,0.71,-0.86,240.81,68.36
42647,160730/0000,-1.32,-2.47,248.81,73.62
42647,160730/1200,0.23,-2.63,245.78,69.58
42647,160731/0000,-1.75,-2.69,253.38,74.96
42647,160731/1200,-0.3,-3.51,236.18,72.53
42647,160601/0000,2.09,-0.95,225.59,42.51
42647,160601/1200,0.33,-0.35,234.42,42.09
42647,160602/0000,-1.85,-3.16,253.62,42.61
42647,160602/1200,-0.32,-2.23,214.98,39.94
42647,160603/0000,-1.89,-4.43,210.01,39.67
42647,160603/1200,-0.82,-1.7,195.61,37.19
42647,160604/0000,0.26,-5.34,151.78,38.8
42647,160604/0900,-0.08,-0.24,165.61,34.44
42647,160605/0000,3.97,1.84,132.42,33.49
42647,160605/1200,2.82,2.02,117.4,30.65
42647,160606/0000,3.84,-0.38,110.82,31.74
42647,160606/1200,1.39,0.35,162.2,36.57
42647,160607/0000,-0.64,-3,157.21,34.99
42647,160607/1200,1.08,-1.11,170.79,32.65
42647,160608/0000,-0.15,-7.2,152.82,34.97
